"ID_CLASSIFICACAO_PILOTOS","ID_RESULTADOS","ID_PILOTO","PONTOS_PILOTO","POSICAO_PILOTO","VITORIAS_PILOTO"
58053,14599,246,0,21,0
58052,14600,182,39,1,1
58051,14601,253,0,20,0
58050,14602,238,4,13,0
58049,14603,200,17,7,0
58048,14604,231,22,5,1
58047,14605,221,10,9,0
58046,14606,172,10,8,1
58045,14607,237,0,38,0
58044,14608,187,9,10,0
58043,14609,252,0,37,0
58042,14610,251,0,30,0
58041,14611,230,3,15,0
58040,14612,223,1,17,0
58039,14613,207,32,2,3
58038,14614,224,8,11,0
58037,14615,199,28,4,1
58036,14616,250,6,12,0
58035,14617,222,32,3,2
58134,14618,269,0,45,0
58133,14619,268,0,43,0
58132,14620,266,0,51,0
58131,14621,245,0,50,0
58130,14622,265,0,49,0
58129,14623,264,0,48,0
58128,14624,219,0,42,0
58127,14625,267,0,21,0
58126,14626,203,0,34,0
58125,14627,175,1,20,0
58124,14628,263,0,47,0
58123,14629,262,0,27,0
58122,14630,212,0,41,0
58121,14631,261,0,46,0
58120,14632,235,0,32,0
58119,14633,119,0,24,0
58118,14634,260,0,44,0
58117,14635,259,0,36,0
58116,14636,232,0,38,0
58115,14637,229,0,26,0
58114,14638,211,0,30,0
58113,14639,208,0,37,0
58112,14640,258,0,28,0
58111,14641,178,3,16,0
58110,14642,205,0,31,0
58109,14643,197,1,18,0
58108,14644,257,0,40,0
58107,14645,233,8,11,0
58106,14646,239,0,29,0
58105,14647,256,0,35,0
58104,14648,255,20,6,1
58103,14649,254,1,19,0
58102,14650,246,0,25,0
58101,14651,182,48,1,2
58100,14652,253,0,22,0
58099,14653,238,4,15,0
58098,14654,200,17,7,0
58097,14655,231,22,5,1
58096,14656,221,10,9,0
58095,14657,172,10,8,1
58094,14658,237,0,23,0
58093,14659,187,9,10,0
58092,14660,252,0,39,0
58091,14661,251,0,33,0
58090,14662,230,5,14,0
58089,14663,223,1,17,0
58088,14664,207,32,3,3
58087,14665,224,8,12,0
